{'it': 114, 'wall': 732.0, 'records': 773, 'policy_loss': 2.5282, 'value_loss': 0.0066, 'ep_len': 24.9, 'fresh_rows': 17877, 'hit_rows': 14806}
{'it': 115, 'wall': 737.5, 'records': 779, 'policy_loss': 2.4327, 'value_loss': 0.005, 'ep_len': 24.3, 'fresh_rows': 17829, 'hit_rows': 14892}
{'it': 116, 'wall': 742.9, 'records': 780, 'policy_loss': 2.5428, 'value_loss': 0.0047, 'ep_len': 24.4, 'fresh_rows': 18855, 'hit_rows': 13455}
{'it': 117, 'wall': 749.9, 'records': 799, 'policy_loss': 2.5444, 'value_loss': 0.0043, 'ep_len': 25.0, 'fresh_rows': 22114, 'hit_rows': 14653}
{'it': 118, 'wall': 755.4, 'records': 782, 'policy_loss': 2.3323, 'value_loss': 0.0041, 'ep_len': 24.4, 'fresh_rows': 18041, 'hit_rows': 13301}
{'it': 119, 'wall': 761.1, 'records': 782, 'policy_loss': 2.3115, 'value_loss': 0.003, 'ep_len': 24.4, 'fresh_rows': 17137, 'hit_rows': 14118}
{'it': 120, 'wall': 766.9, 'records': 789, 'policy_loss': 2.2642, 'value_loss': 0.002, 'ep_len': 23.9, 'fresh_rows': 17899, 'hit_rows': 14159}
{'it': 121, 'wall': 772.6, 'records': 780, 'policy_loss': 2.3113, 'value_loss': 0.002, 'ep_len': 23.6, 'fresh_rows': 16617, 'hit_rows': 13587}
{'it': 122, 'wall': 778.1, 'records': 788, 'policy_loss': 2.2597, 'value_loss': 0.0027, 'ep_len': 23.2, 'fresh_rows': 16791, 'hit_rows': 13028}
{'it': 123, 'wall': 785.2, 'records': 778, 'policy_loss': 2.3012, 'value_loss': 0.0031, 'ep_len': 22.9, 'fresh_rows': 20737, 'hit_rows': 16021}
{'it': 124, 'wall': 789.8, 'records': 781, 'policy_loss': 2.7333, 'value_loss': 0.0027, 'ep_len': 30.0, 'fresh_rows': 14742, 'hit_rows': 12301}
{'it': 125, 'wall': 795.9, 'records': 837, 'policy_loss': 2.2653, 'value_loss': 0.0016, 'ep_len': 23.2, 'fresh_rows': 18348, 'hit_rows': 13679}
{'it': 126, 'wall': 801.1, 'records': 773, 'policy_loss': 2.1256, 'value_loss': 0.0015, 'ep_len': 22.1, 'fresh_rows': 17361, 'hit_rows': 13807}
{'it': 127, 'wall': 806.2, 'records': 794, 'policy_loss': 2.0995, 'value_loss': 0.0013, 'ep_len': 22.7, 'fresh_rows': 15898, 'hit_rows': 12989}
{'it': 128, 'wall': 812.3, 'records': 786, 'policy_loss': 2.1945, 'value_loss': 0.0012, 'ep_len': 23.1, 'fresh_rows': 17562, 'hit_rows': 13506}
{'it': 129, 'wall': 817.4, 'records': 786, 'policy_loss': 2.1893, 'value_loss': 0.0015, 'ep_len': 23.1, 'fresh_rows': 16128, 'hit_rows': 13523}
{'it': 130, 'wall': 821.9, 'records': 768, 'policy_loss': 2.0575, 'value_loss': 0.0016, 'ep_len': 22.6, 'fresh_rows': 13560, 'hit_rows': 13713}
{'it': 131, 'wall': 827.4, 'records': 786, 'policy_loss': 2.2092, 'value_loss': 0.0014, 'ep_len': 23.8, 'fresh_rows': 17728, 'hit_rows': 14631}
{'it': 132, 'wall': 832.2, 'records': 779, 'policy_loss': 2.3147, 'value_loss': 0.0012, 'ep_len': 25.1, 'fresh_rows': 15954, 'hit_rows': 13030}
{'it': 133, 'wall': 837.7, 'records': 791, 'policy_loss': 2.0626, 'value_loss': 0.0013, 'ep_len': 22.6, 'fresh_rows': 18394, 'hit_rows': 16609}
{'it': 134, 'wall': 841.8, 'records': 823, 'policy_loss': 2.3352, 'value_loss': 0.0015, 'ep_len': 28.4, 'fresh_rows': 13360, 'hit_rows': 12543}
{'it': 135, 'wall': 847.0, 'records': 788, 'policy_loss': 2.1102, 'value_loss': 0.002, 'ep_len': 22.5, 'fresh_rows': 17142, 'hit_rows': 15312}
{'it': 136, 'wall': 852.4, 'records': 779, 'policy_loss': 2.1714, 'value_loss': 0.0413, 'ep_len': 24.3, 'fresh_rows': 16824, 'hit_rows': 14639}
{'it': 137, 'wall': 856.4, 'records': 771, 'policy_loss': 1.9966, 'value_loss': 0.0143, 'ep_len': 22.0, 'fresh_rows': 12729, 'hit_rows': 12320}
{'it': 138, 'wall': 860.6, 'records': 813, 'policy_loss': 2.0053, 'value_loss': 0.0079, 'ep_len': 22.0, 'fresh_rows': 14270, 'hit_rows': 12739}
{'it': 139, 'wall': 865.2, 'records': 775, 'policy_loss': 2.0401, 'value_loss': 0.0213, 'ep_len': 22.1, 'fresh_rows': 15887, 'hit_rows': 16065}
{'it': 140, 'wall': 869.2, 'records': 774, 'policy_loss': 2.0577, 'value_loss': 0.0054, 'ep_len': 24.2, 'fresh_rows': 14553, 'hit_rows': 12342}
{'it': 141, 'wall': 873.3, 'records': 799, 'policy_loss': 2.0476, 'value_loss': 0.0061, 'ep_len': 22.8, 'fresh_rows': 15390, 'hit_rows': 13586}
{'it': 142, 'wall': 877.3, 'records': 778, 'policy_loss': 1.9098, 'value_loss': 0.0031, 'ep_len': 22.2, 'fresh_rows': 13829, 'hit_rows': 14168}
{'it': 143, 'wall': 881.0, 'records': 794, 'policy_loss': 2.1854, 'value_loss': 0.0028, 'ep_len': 23.4, 'fresh_rows': 14478, 'hit_rows': 12270}
